Post Date,Post Subtype,Post Type,Avg Likes Per post,Number Of Comments,Number Of Likes,Number Of Posts
26-May-23,Career Track Certificate,Visual,0,0,0,1
27-May-23,Level,Visual,0.037974684,0,3,79
27-May-23,Goal,Visual,0.25,0,1,4
27-May-23,Streak,Visual,0.266666667,0,8,30
27-May-23,Collection,Visual,0.032258065,0,1,31
27-May-23,Course Certificate,Visual,0.294117647,0,10,34
27-May-23,Career Track Certificate,Visual,0,0,0,1
28-May-23,Level,Visual,0.057471264,1,5,87
28-May-23,Goal,Visual,0.573770492,0,35,61
28-May-23,Streak,Visual,0.125,0,1,8
28-May-23,Collection,Visual,0,0,0,27
28-May-23,Course Certificate,Visual,0.311111111,0,14,45
29-May-23,Text Post,Text Post,1,2,2,2
29-May-23,Level,Visual,0.041095890,0,3,73
29-May-23,Goal,Visual,0.333333333,0,1,3
29-May-23,Streak,Visual,0.277777778,0,5,18
29-May-23,Collection,Visual,0.085714286,0,3,35
29-May-23,Course Certificate,Visual,0.318181818,0,7,22
30-May-23,Text Post,Text Post,1,2,2,2
30-May-23,Level,Visual,0.068181818,1,6,88
30-May-23,Streak,Visual,0.3125,0,5,16
30-May-23,Collection,Visual,0.054054054,0,2,37
30-May-23,Course Certificate,Visual,0.261904762,0,11,42
31-May-23,Text Post,Text Post,1,1,1,1
31-May-23,Level,Visual,0.060975610,0,5,82
31-May-23,Streak,Visual,0.266666667,0,4,15
31-May-23,Collection,Visual,0,0,0,22
31-May-23,Course Certificate,Visual,0.275,0,11,40
